schedule_season,team,regular_season_mean_score,playoff_mean_score,regular_season_z_score,playoff_z_score
1966,Arizona Cardinals,18.86,,-0.6467857824868182,
1966,Atlanta Falcons,14.57,,-1.5245116842245645,
1966,Buffalo Bills,25.57,7.0,0.7260675510004264,-1.3072762594861287
1966,Chicago Bears,16.71,,-1.086671723917157,
1966,Cleveland Browns,28.79,,1.384873472584469,
1966,Dallas Cowboys,31.79,27.0,1.9986678094640118,0.40718440869240075
1966,Denver Broncos,14.0,,-1.6411326082316777,
1966,Detroit Lions,14.71,,-1.495867948503519,
1966,Green Bay Packers,23.93,34.5,0.39052664683960947,1.0501071592593492
1966,Indianapolis Colts,22.43,,0.08362947839983799,
1966,Kansas City Chiefs,32.0,20.5,2.04163341304558,-0.1500153084656213
1966,Las Vegas Raiders,22.5,,0.09795134626036071,
1966,Los Angeles Chargers,23.93,,0.39052664683960947,
1966,Los Angeles Rams,20.64,,-0.2826011426049558,
1966,Miami Dolphins,15.21,,-1.3935688923569285,
1966,Minnesota Vikings,20.86,,-0.23758955790045622,
1966,New England Patriots,22.5,,0.09795134626036071,
1966,New York Giants,18.79,,-0.6611076503473409,
1966,New York Jets,23.0,,0.20025040240695122,
1966,Philadelphia Eagles,23.29,,0.2595838549719735,
1966,Pittsburgh Steelers,22.57,,0.11227321412088344,
1966,San Francisco 49ers,22.86,,0.17160666668590574,
1966,Tennessee Titans,23.93,,0.39052664683960947,
1966,Washington Commanders,25.07,,0.6237684948538359,
1967,Arizona Cardinals,23.79,,0.3193657456628284,
1967,Atlanta Falcons,12.5,,-1.8733119900057011,
1967,Buffalo Bills,16.93,,-1.0129433125024605,
1967,Chicago Bears,17.07,,-0.985753331723577,
1967,Cleveland Browns,23.86,14.0,0.33296073605227017,-0.4673723059039542
1967,Dallas Cowboys,24.43,34.5,0.44366280065200997,1.2836722760694346
1967,Denver Broncos,18.29,,-0.7488120706504501,
1967,Detroit Lions,18.57,,-0.6944321090926829,
1967,Green Bay Packers,23.71,27.33,0.303828613789181,0.6712337564231322
1967,Indianapolis Colts,28.14,,1.1641972912924217,
1967,Kansas City Chiefs,29.14,,1.3584114397130176,
1967,Las Vegas Raiders,33.43,27.0,2.1915901364373744,0.6430462094938046
1967,Los Angeles Chargers,25.71,,0.6922569106303732,
1967,Los Angeles Rams,28.43,7.0,1.2205193943343942,-1.065289968041209
1967,Miami Dolphins,15.64,,-1.2634795639650294,
1967,Minnesota Vikings,16.64,,-1.0692654155444332,
1967,New England Patriots,20.0,,-0.41670587685123056,
1967,New Orleans Saints,16.64,,-1.0692654155444332,
1967,New York Giants,26.36,,0.8184961071037603,
1967,New York Jets,26.5,,0.8456860878826439,
