Head Coach,Starting QB,Season,Team,z-score
Red Miller,Craig Morton,1980,Denver Broncos,-0.29
Dan Reeves,Craig Morton,1981,Denver Broncos,-0.17
Dan Reeves,Steve DeBerg,1982,Denver Broncos,-0.76
Dan Reeves,John Elway,1983,Denver Broncos,-0.65
Dan Reeves,John Elway,1984,Denver Broncos,0.19
Dan Reeves,John Elway,1985,Denver Broncos,0.57
Dan Reeves,John Elway,1986,Denver Broncos,0.82
Dan Reeves,John Elway,1987,Denver Broncos,1.04
Dan Reeves,John Elway,1988,Denver Broncos,0.05
Dan Reeves,John Elway,1989,Denver Broncos,0.55
Dan Reeves,John Elway,1990,Denver Broncos,0.16
Dan Reeves,John Elway,1991,Denver Broncos,0.00
Dan Reeves,John Elway,1992,Denver Broncos,-0.58
Wade Phillips,John Elway,1993,Denver Broncos,1.19
Wade Phillips,John Elway,1994,Denver Broncos,0.39
Mike Shanahan,John Elway,1995,Denver Broncos,0.76
Mike Shanahan,John Elway,1996,Denver Broncos,1.21
Mike Shanahan,John Elway,1997,Denver Broncos,2.70
Mike Shanahan,John Elway,1998,Denver Broncos,1.94
Mike Shanahan,Brian Griese,1999,Denver Broncos,-0.28
Mike Shanahan,Brian Griese,2000,Denver Broncos,1.84
Mike Shanahan,Brian Griese,2001,Denver Broncos,0.29
Mike Shanahan,Brian Griese,2002,Denver Broncos,0.73
Mike Shanahan,Jake Plummer,2003,Denver Broncos,0.67
Mike Shanahan,Jake Plummer,2004,Denver Broncos,0.53
Mike Shanahan,Jake Plummer,2005,Denver Broncos,0.98
Mike Shanahan,Jake Plummer,2006,Denver Broncos,-0.17
Mike Shanahan,Jay Cutler,2007,Denver Broncos,-0.34
Mike Shanahan,Jay Cutler,2008,Denver Broncos,0.26
Josh McDaniels,Kyle Orton,2009,Denver Broncos,-0.22
Josh McDaniels/Eric Studesville ,Kyle Orton,2010,Denver Broncos,-0.13
John Fox,Tim Tebow,2011,Denver Broncos,-0.52
John Fox,Peyton Manning,2012,Denver Broncos,1.57
John Fox,Peyton Manning,2013,Denver Broncos,3.32
John Fox,Peyton Manning,2014,Denver Broncos,1.70
Gary Kubiak,Peyton Manning,2015,Denver Broncos,-0.16
Gary Kubiak,Trevor Siemian,2016,Denver Broncos,-0.48
Vance Joseph,Trevor Siemian,2017,Denver Broncos,-0.90
Vance Joseph,Case Keenum,2018,Denver Broncos,-0.58
Vic Fangio ,Joe Flacco,2019,Denver Broncos,-1.23
Vic Fangio ,Drew Lock,2020,Denver Broncos,-1.08
Vic Fangio ,Teddy Bridgewater,2021,Denver Broncos,-0.73
Nathaniel Hackett/Jerry Rosburg,Russell Wilson,2022,Denver Broncos,-1.34
Sean Payton ,Russell Wilson,2023,Denver Broncos,-0.17
Sean Payton ,Bo Nix,2024,Denver Broncos,0.46
